Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Net Income,Taxable Income,,,,,,,,,,,,,,,,,,
24,24019,Charlesbourg--Haute-Saint-Charles,85820,3700384000 ,3333299000 ,3257793000 ,,,,,,,,,,,,,,,,,,
24,24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,78280,3298090000 ,2971727000 ,2876321000 ,,,,,,,,,,,,,,,,,,
24,24021,Châteauguay--Lacolle,79240,3119751000 ,2871319000 ,2771244000 ,,,,,,,,,,,,,,,,,,
24,24022,Chicoutimi--Le Fjord,67210,2720487000 ,2460397000 ,2368304000 ,,,,,,,,,,,,,,,,,,
24,24023,Compton--Stanstead,83260,3321565000 ,3038899000 ,2928695000 ,,,,,,,,,,,,,,,,,,
24,24024,Dorval--Lachine--LaSalle,88430,3391002000 ,3121525000 ,2991440000 ,,,,,,,,,,,,,,,,,,
24,24025,Drummond,82790,3016345000 ,2794681000 ,2662761000 ,,,,,,,,,,,,,,,,,,
24,24026,Gaspésie--Les Îles-de-la-Madeleine,66980,2255368000 ,2097425000 ,1939596000 ,,,,,,,,,,,,,,,,,,
24,24027,Gatineau,83700,3680240000 ,3355615000 ,3240622000 ,,,,,,,,,,,,,,,,,,
24,24028,Hochelaga,83940,3050058000 ,2810769000 ,2675721000 ,,,,,,,,,,,,,,,,,,
24,24029,Honoré-Mercier,82610,3119828000 ,2877707000 ,2765987000 ,,,,,,,,,,,,,,,,,,
24,24030,Hull--Aylmer,78310,3669189000 ,3322481000 ,3235685000 ,,,,,,,,,,,,,,,,,,
24,24031,Joliette,85030,3046808000 ,2798586000 ,2651231000 ,,,,,,,,,,,,,,,,,,
24,24032,Jonquière,73950,2972370000 ,2688357000 ,2592932000 ,,,,,,,,,,,,,,,,,,
24,24033,La Pointe-de-l'Île,85360,3199960000 ,2934763000 ,2815093000 ,,,,,,,,,,,,,,,,,,
24,24034,La Prairie,85650,4198205000 ,3818399000 ,3735534000 ,,,,,,,,,,,,,,,,,,
24,24035,Lac-Saint-Jean,86890,3164149000 ,2889785000 ,2752280000 ,,,,,,,,,,,,,,,,,,
24,24036,Lac-Saint-Louis,85350,5143611000 ,4684802000 ,4565378000 ,,,,,,,,,,,,,,,,,,
24,24037,LaSalle--Émard--Verdun,85640,3063450000 ,2832269000 ,2707920000 ,,,,,,,,,,,,,,,,,,
