Geo Code,Geo Name,Line Number
"35060","Mississauga--Erin Mills",185330
"35061","Mississauga--Lakeshore",186383
"35062","Mississauga--Malton",187436
"35063","Mississauga--Streetsville",188489
"35064","Nepean",189542
"35065","Newmarket--Aurora",190595
"35066","Niagara Centre",191648
"35067","Niagara Falls",192701
"35068","Niagara West",193754
"35069","Nickel Belt",194807
"35070","Nipissing--Timiskaming",195860
"35071","Northumberland--Peterborough South",196913
"35072","Oakville",197966
"35073","Oakville North--Burlington",199019
"35074","Oshawa",200072
"35075","Ottawa Centre",201125
"35076","Orléans",202178
"35077","Ottawa South",203231
"35078","Ottawa--Vanier",204284
"35079","Ottawa West--Nepean",205337
"35080","Oxford",206390
"35081","Parkdale--High Park",207443
"35082","Parry Sound--Muskoka",208496
"35083","Perth--Wellington",209549
"35084","Peterborough--Kawartha",210602
"35085","Pickering--Uxbridge",211655
"35086","Renfrew--Nipissing--Pembroke",212708
"35087","Richmond Hill",213761
"35088","Carleton",214814
"35089","St. Catharines",215867
"35090","Toronto--St. Paul's",216920
"35091","Sarnia--Lambton",217973
"35092","Sault Ste. Marie",219026
"35093","Scarborough--Agincourt",220079
"35094","Scarborough Centre",221132
"35095","Scarborough--Guildwood",222185
"35096","Scarborough North",223238
"35097","Scarborough--Rouge Park",224291
"35098","Scarborough Southwest",225344
"35099","Simcoe--Grey",226397
"35100","Simcoe North",227450
"35101","Spadina--Fort York",228503
"35102","Stormont--Dundas--South Glengarry",229556
"35103","Sudbury",230609
"35104","Thornhill",231662
"35105","Thunder Bay--Rainy River",232715
"35106","Thunder Bay--Superior North",233768
"35107","Timmins--James Bay",234821
"35108","Toronto Centre",235874
"35109","Toronto--Danforth",236927
"35110","University--Rosedale",237980
"35111","Vaughan--Woodbridge",239033
"35112","Waterloo",240086
"35113","Wellington--Halton Hills",241139
"35114","Whitby",242192
"35115","Willowdale",243245
"35116","Windsor--Tecumseh",244298
"35117","Windsor West",245351
"35118","York Centre",246404
"35119","York--Simcoe",247457
"35120","York South--Weston",248510
"35121","Humber River--Black Creek",249563
"46","Manitoba",250616
"46001","Brandon--Souris",251669
"46002","Charleswood--St. James--Assiniboia--Headingley",252722
"46003","Churchill--Keewatinook Aski",253775
"46004","Dauphin--Swan River--Neepawa",254828
"46005","Elmwood--Transcona",255881
"46006","Kildonan--St. Paul",256934
"46007","Portage--Lisgar",257987
"46008","Provencher",259040
"46009","Saint Boniface--Saint Vital",260093
"46010","Selkirk--Interlake--Eastman",261146
"46011","Winnipeg Centre",262199
"46012","Winnipeg North",263252
"46013","Winnipeg South",264305
"46014","Winnipeg South Centre",265358
"47","Saskatchewan",266411
"47001","Battlefords--Lloydminster",267464
"47002","Cypress Hills--Grasslands",268517
"47003","Desnethé--Missinippi--Churchill River",269570
"47004","Carlton Trail--Eagle Creek",270623
"47005","Moose Jaw--Lake Centre--Lanigan",271676
"47006","Prince Albert",272729
"47007","Regina--Lewvan",273782
"47008","Regina--Qu'Appelle",274835
"47009","Regina--Wascana",275888
"47010","Saskatoon--Grasswood",276941
"47011","Saskatoon--University",277994
"47012","Saskatoon West",279047
"47013","Souris--Moose Mountain",280100
"47014","Yorkton--Melville",281153
"48","Alberta",282206
"48001","Banff--Airdrie",283259
"48002","Battle River--Crowfoot",284312
"48003","Bow River",285365
"48004","Calgary Centre",286418
"48005","Calgary Confederation",287471
"48006","Calgary Forest Lawn",288524
"48007","Calgary Heritage",289577
"48008","Calgary Midnapore",290630
"48009","Calgary Nose Hill",291683
"48010","Calgary Rocky Ridge",292736
"48011","Calgary Shepard",293789
"48012","Calgary Signal Hill",294842
"48013","Calgary Skyview",295895
"48014","Edmonton Centre",296948
"48015","Edmonton Griesbach",298001
"48016","Edmonton Manning",299054
"48017","Edmonton Mill Woods",300107
"48018","Edmonton Riverbend",301160
"48019","Edmonton Strathcona",302213
"48020","Edmonton West",303266
"48021","Edmonton--Wetaskiwin",304319
